
--- Training session started at Wed Apr 22 00:03:06 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
     960    4/5     2.0834     8.0       --      --   0.435   274M/802M
     970    4/5     2.3285    10.3       --      --   0.391   274M/802M
     980    4/5     2.4280    11.3       --      --   0.367   274M/802M
     990    4/5     2.2297     9.3       --      --   0.326   274M/802M
    1000    4/5     2.2581     9.6       --      --   0.385   274M/802M
    1010    4/5     1.9385     6.9       --      --   0.366   274M/802M
    1020    4/5     2.1496     8.6       --      --   0.356   274M/802M
    1030    4/5     2.0708     7.9       --      --   0.323   274M/802M
    1040    4/5     2.1515     8.6       --      --   0.347   274M/802M
    1050    4/5     2.0169     7.5       --      --   0.285   274M/802M
    1060    4/5     2.1492     8.6       --      --   0.348   274M/802M
    1070    4/5     2.1916     8.9       --      --   0.340   274M/802M
    1080    4/5     2.2403     9.4       --      --   0.475   274M/802M
    1090    4/5     2.0665     7.9       --      --   0.301   274M/802M
    1100    4/5     2.0022     7.4       --      --   0.428   274M/802M
---------------------------------------------------------------------------
  EPOCH 4/5 SUMMARY: TrLoss=2.1938 | VaLoss=2.1220 | VaPPL=8.3
---------------------------------------------------------------------------
    1110    5/5     2.0832     8.0       --      --   0.379   274M/802M
    1120    5/5     2.1197     8.3       --      --   0.323   274M/802M
    1130    5/5     2.4722    11.8       --      --   0.329   274M/802M
    1140    5/5     1.9243     6.9       --      --   0.359   274M/802M
    1150    5/5     2.4202    11.2       --      --   0.348   274M/802M
    1160    5/5     2.3149    10.1       --      --   0.367   274M/802M
    1170    5/5     2.3489    10.5       --      --   0.423   274M/802M
    1180    5/5     1.8343     6.3       --      --   0.348   274M/802M
    1190    5/5     2.5109    12.3       --      --   0.417   274M/802M
    1200    5/5     2.1694     8.8       --      --   0.363   274M/802M
    1210    5/5     2.1177     8.3       --      --   0.361   274M/802M
    1220    5/5     2.0349     7.7       --      --   0.363   274M/802M
    1230    5/5     2.1578     8.7       --      --   0.362   274M/802M
    1240    5/5     2.2689     9.7       --      --   0.351   274M/802M
    1250    5/5     2.1830     8.9       --      --   0.418   274M/802M
    1260    5/5     1.9162     6.8       --      --   0.306   274M/802M
    1270    5/5     2.3353    10.3       --      --   0.380   274M/802M
    1280    5/5     2.4437    11.5       --      --   0.370   274M/802M
    1290    5/5     1.9657     7.1       --      --   0.356   274M/802M
    1300    5/5     2.0839     8.0       --      --   0.364   274M/802M
    1310    5/5     2.4003    11.0       --      --   0.391   274M/802M
    1320    5/5     1.7597     5.8       --      --   0.342   274M/802M
    1330    5/5     1.9087     6.7       --      --   0.348   274M/802M
    1340    5/5     1.9579     7.1       --      --   0.386   274M/802M
    1350    5/5     2.3234    10.2       --      --   0.377   274M/802M
    1360    5/5     2.4212    11.3       --      --   0.359   274M/802M
    1370    5/5     2.2262     9.3       --      --   0.347   274M/802M
    1380    5/5     2.3657    10.7       --      --   0.338   274M/802M
---------------------------------------------------------------------------
  EPOCH 5/5 SUMMARY: TrLoss=2.1059 | VaLoss=2.0588 | VaPPL=7.8
---------------------------------------------------------------------------

--- Training session started at Wed Apr 22 01:15:20 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
---------------------------------------------------------------------------
      10    1/5     1.9990     7.4       --      --   0.302   277M/822M
      20    1/5     1.9095     6.7       --      --   0.321   277M/822M
      30    1/5     1.7905     6.0       --      --   0.296   277M/822M
      40    1/5     1.8325     6.2       --      --   0.289   277M/822M
      50    1/5     2.0046     7.4       --      --   0.300   277M/822M
      60    1/5     1.9765     7.2       --      --   0.314   277M/822M
      70    1/5     2.2443     9.4       --      --   0.411   277M/822M
      80    1/5     2.0437     7.7       --      --   0.304   277M/822M
      90    1/5     2.1196     8.3       --      --   0.316   277M/822M
     100    1/5     1.8063     6.1       --      --   0.292   277M/822M
     110    1/5     1.8381     6.3       --      --   0.305   277M/822M
     120    1/5     1.8858     6.6       --      --   0.296   277M/822M
     130    1/5     2.0556     7.8       --      --   0.332   277M/822M
     140    1/5     2.2078     9.1       --      --   0.334   277M/822M
     150    1/5     1.8981     6.7       --      --   0.303   277M/822M
     160    1/5     1.8615     6.4       --      --   0.307   277M/822M
     170    1/5     2.1882     8.9       --      --   0.365   277M/822M
     180    1/5     1.9194     6.8       --      --   0.313   277M/822M
     190    1/5     2.1154     8.3       --      --   0.323   277M/822M
     200    1/5     2.0882     8.1       --      --   0.332   277M/822M
     210    1/5     1.8790     6.5       --      --   0.298   277M/822M
     220    1/5     1.7427     5.7       --      --   0.314   277M/822M
     230    1/5     1.9661     7.1       --      --   0.329   277M/822M
     240    1/5     2.1382     8.5       --      --   0.329   277M/822M
     250    1/5     1.9760     7.2       --      --   0.335   277M/822M
     260    1/5     2.0547     7.8       --      --   0.349   277M/822M
     270    1/5     2.1024     8.2       --      --   0.328   277M/822M
---------------------------------------------------------------------------
  EPOCH 1/5 SUMMARY: TrLoss=2.0111 | VaLoss=2.0157 | VaPPL=7.5
---------------------------------------------------------------------------
     280    2/5     2.1035     8.2       --      --   0.344   279M/822M
     290    2/5     2.2617     9.6       --      --   0.341   279M/822M
     300    2/5     1.8234     6.2       --      --   0.304   279M/822M
     310    2/5     1.6642     5.3       --      --   0.288   279M/822M
     320    2/5     2.0054     7.4       --      --   0.335   279M/822M
     330    2/5     1.9581     7.1       --      --   0.318   279M/822M
     340    2/5     1.8028     6.1       --      --   0.323   279M/822M
     350    2/5     2.1857     8.9       --      --   0.342   279M/822M
     360    2/5     1.8643     6.5       --      --   0.317   279M/822M
     370    2/5     1.8804     6.6       --      --   0.311   279M/822M
     380    2/5     1.9224     6.8       --      --   0.318   279M/822M
     390    2/5     1.9659     7.1       --      --   0.319   279M/822M
     400    2/5     2.1988     9.0       --      --   0.317   279M/822M
     410    2/5     1.8820     6.6       --      --   0.318   279M/822M
     420    2/5     1.7632     5.8       --      --   0.342   279M/822M
     430    2/5     1.7841     6.0       --      --   0.312   279M/822M
     440    2/5     2.0897     8.1       --      --   0.352   279M/822M
     450    2/5     1.8829     6.6       --      --   0.326   279M/822M
     460    2/5     1.9691     7.2       --      --   0.324   279M/822M
     470    2/5     1.8155     6.1       --      --   0.322   279M/822M
     480    2/5     1.8034     6.1       --      --   0.315   279M/822M
     490    2/5     2.0836     8.0       --      --   0.374   279M/822M
     500    2/5     2.0867     8.1       --      --   0.376   279M/822M
     510    2/5     1.9889     7.3       --      --   0.337   279M/822M
     520    2/5     1.8872     6.6       --      --   0.327   279M/822M
     530    2/5     2.0956     8.1       --      --   0.346   279M/822M
     540    2/5     1.7250     5.6       --      --   0.297   279M/822M
     550    2/5     2.0247     7.6       --      --   0.359   279M/822M
---------------------------------------------------------------------------
  EPOCH 2/5 SUMMARY: TrLoss=1.9869 | VaLoss=2.0023 | VaPPL=7.4
---------------------------------------------------------------------------
     560    3/5     1.7905     6.0       --      --   0.324   279M/822M
     570    3/5     2.0949     8.1       --      --   0.368   279M/822M
     580    3/5     1.8828     6.6       --      --   0.319   279M/822M
     590    3/5     2.1143     8.3       --      --   0.331   279M/822M
     600    3/5     2.2434     9.4       --      --   0.363   279M/822M
     610    3/5     2.0201     7.5       --      --   0.325   279M/822M
     620    3/5     2.1294     8.4       --      --   0.369   279M/822M
     630    3/5     2.0798     8.0       --      --   0.337   279M/822M
     640    3/5     1.8994     6.7       --      --   0.329   279M/822M
     650    3/5     1.9047     6.7       --      --   0.361   279M/822M
     660    3/5     1.9123     6.8       --      --   0.354   279M/822M
     670    3/5     1.9904     7.3       --      --   0.334   279M/822M
     680    3/5     1.9224     6.8       --      --   0.339   279M/822M
     690    3/5     1.8480     6.3       --      --   0.336   279M/822M
     700    3/5     1.8173     6.2       --      --   0.352   279M/822M
     710    3/5     2.0983     8.2       --      --   0.353   279M/822M
     720    3/5     1.9679     7.2       --      --   0.367   279M/822M
     730    3/5     1.8889     6.6       --      --   0.356   279M/822M
     740    3/5     2.0512     7.8       --      --   0.357   279M/822M
     750    3/5     2.0881     8.1       --      --   0.333   279M/822M
     760    3/5     1.6082     5.0       --      --   0.304   279M/822M
     770    3/5     1.7788     5.9       --      --   0.332   279M/822M
     780    3/5     1.7290     5.6       --      --   0.305   279M/822M
     790    3/5     1.7787     5.9       --      --   0.311   279M/822M
     800    3/5     1.9320     6.9       --      --   0.365   279M/822M
     810    3/5     2.0328     7.6       --      --   0.363   279M/822M
     820    3/5     2.3712    10.7       --      --   0.360   279M/822M
---------------------------------------------------------------------------
  EPOCH 3/5 SUMMARY: TrLoss=1.9703 | VaLoss=1.9922 | VaPPL=7.3
---------------------------------------------------------------------------
     830    4/5     1.8438     6.3       --      --   0.338   279M/822M
     840    4/5     2.0806     8.0       --      --   0.336   279M/822M
     850    4/5     1.8321     6.2       --      --   0.322   279M/822M
     860    4/5     1.8840     6.6       --      --   0.340   279M/822M
     870    4/5     1.8403     6.3       --      --   0.321   279M/822M
     880    4/5     2.0162     7.5       --      --   0.391   279M/822M
     890    4/5     1.8505     6.4       --      --   0.342   279M/822M
     900    4/5     1.9992     7.4       --      --   0.365   279M/822M
     910    4/5     1.7391     5.7       --      --   0.316   279M/822M
     920    4/5     1.9132     6.8       --      --   0.363   279M/822M
     930    4/5     1.9723     7.2       --      --   0.348   279M/822M
     940    4/5     2.0057     7.4       --      --   0.348   279M/822M
     950    4/5     1.6144     5.0       --      --   0.317   279M/822M
     960    4/5     1.8534     6.4       --      --   0.334   279M/822M
     970    4/5     1.7705     5.9       --      --   0.332   279M/822M
     980    4/5     2.0699     7.9       --      --   0.366   279M/822M
     990    4/5     2.3078    10.1       --      --   0.388   279M/822M
    1000    4/5     1.9338     6.9       --      --   0.395   279M/822M
    1010    4/5     1.7058     5.5       --      --   0.342   279M/822M
    1020    4/5     1.8874     6.6       --      --   0.389   279M/822M
    1030    4/5     2.1878     8.9       --      --   0.367   279M/822M
    1040    4/5     2.0496     7.8       --      --   0.365   279M/822M
    1050    4/5     1.9706     7.2       --      --   0.361   279M/822M
    1060    4/5     1.6671     5.3       --      --   0.303   279M/822M
    1070    4/5     1.7397     5.7       --      --   0.319   279M/822M
    1080    4/5     2.1151     8.3       --      --   0.378   279M/822M
    1090    4/5     1.8251     6.2       --      --   0.351   279M/822M
    1100    4/5     2.0956     8.1       --      --   0.357   279M/822M
---------------------------------------------------------------------------
  EPOCH 4/5 SUMMARY: TrLoss=1.9549 | VaLoss=1.9814 | VaPPL=7.3
---------------------------------------------------------------------------
    1110    5/5     1.9766     7.2       --      --   0.349   279M/822M
    1120    5/5     1.8529     6.4       --      --   0.363   279M/822M
    1130    5/5     1.7120     5.5       --      --   0.306   279M/822M
    1140    5/5     2.1037     8.2       --      --   0.370   279M/822M
    1150    5/5     2.0053     7.4       --      --   0.375   279M/822M
    1160    5/5     2.0370     7.7       --      --   0.393   279M/822M
    1170    5/5     1.6717     5.3       --      --   0.336   279M/822M
    1180    5/5     2.2222     9.2       --      --   0.378   279M/822M
    1190    5/5     1.8619     6.4       --      --   0.339   279M/822M
    1200    5/5     1.9291     6.9       --      --   0.351   279M/822M
    1210    5/5     1.7244     5.6       --      --   0.337   279M/822M
    1220    5/5     2.0421     7.7       --      --   0.382   279M/822M
    1230    5/5     2.0332     7.6       --      --   0.368   279M/822M
    1240    5/5     2.1373     8.5       --      --   0.371   279M/822M
    1250    5/5     1.8183     6.2       --      --   0.436   279M/822M
    1260    5/5     2.2223     9.2       --      --   0.396   279M/822M
    1270    5/5     2.2215     9.2       --      --   0.398   279M/822M
    1280    5/5     1.9096     6.8       --      --   0.376   279M/822M
    1290    5/5     1.7473     5.7       --      --   0.346   279M/822M
    1300    5/5     1.8364     6.3       --      --   0.347   279M/822M
    1310    5/5     1.7068     5.5       --      --   0.340   279M/822M
    1320    5/5     1.7439     5.7       --      --   0.342   279M/822M
