
--- Training session started at Wed Apr 22 00:03:06 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
    1350    5/5     1.7332     5.7       --      --   0.379   279M/832M
    1360    5/5     1.7750     5.9       --      --   0.389   279M/832M
    1370    5/5     1.8392     6.3       --      --   0.389   279M/832M
    1380    5/5     1.7858     6.0       --      --   0.364   279M/832M
---------------------------------------------------------------------------
  EPOCH 5/5 SUMMARY: TrLoss=1.8831 | VaLoss=1.9336 | VaPPL=6.9
---------------------------------------------------------------------------

--- Training session started at Wed Apr 22 13:18:22 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
---------------------------------------------------------------------------
      10    1/20    2.0039     7.4       --      --   0.420   277M/756M
      20    1/20    1.6088     5.0       --      --   0.366   277M/756M
      30    1/20    1.9379     6.9       --      --   0.403   277M/756M
      40    1/20    1.9152     6.8       --      --   0.429   277M/756M
      50    1/20    2.0698     7.9       --      --   0.407   277M/756M
      60    1/20    2.0644     7.9       --      --   0.409   277M/756M
      70    1/20    2.0246     7.6       --      --   0.411   277M/756M
      80    1/20    1.8040     6.1       --      --   0.368   277M/756M
      90    1/20    1.9096     6.8       --      --   0.394   277M/756M
     100    1/20    2.0760     8.0       --      --   0.419   277M/756M
     110    1/20    1.6902     5.4       --      --   0.354   277M/756M
     120    1/20    1.8609     6.4       --      --   0.403   277M/756M
     130    1/20    1.8882     6.6       --      --   0.396   277M/756M
     140    1/20    2.0651     7.9       --      --   0.432   277M/756M
     150    1/20    1.9037     6.7       --      --   0.399   277M/756M
     160    1/20    1.8222     6.2       --      --   0.380   277M/756M
     170    1/20    1.7620     5.8       --      --   0.413   277M/756M
     180    1/20    1.7709     5.9       --      --   0.383   277M/756M
     190    1/20    1.9669     7.1       --      --   0.393   277M/756M
     200    1/20    1.8359     6.3       --      --   0.407   277M/756M
     210    1/20    2.0102     7.5       --      --   0.423   277M/756M
     220    1/20    2.1985     9.0       --      --   0.400   277M/756M
     230    1/20    1.8300     6.2       --      --   0.400   277M/756M
     240    1/20    1.8486     6.4       --      --   0.410   277M/756M
     250    1/20    1.7906     6.0       --      --   0.399   277M/756M
     260    1/20    2.1495     8.6       --      --   0.433   277M/756M
     270    1/20    1.9150     6.8       --      --   0.413   277M/756M
---------------------------------------------------------------------------
  EPOCH 1/20 SUMMARY: TrLoss=1.8752 | VaLoss=1.9299 | VaPPL=6.9
---------------------------------------------------------------------------
     280    2/20    1.9753     7.2       --      --   0.466   279M/756M
     290    2/20    1.9249     6.9       --      --   0.382   279M/756M
     300    2/20    2.2754     9.7       --      --   0.447   279M/756M
     310    2/20    1.8136     6.1       --      --   0.402   279M/756M
     320    2/20    1.6532     5.2       --      --   0.383   279M/756M
     330    2/20    1.9056     6.7       --      --   0.398   279M/756M
     340    2/20    1.8537     6.4       --      --   0.450   279M/756M
     350    2/20    1.8226     6.2       --      --   0.390   279M/756M
     360    2/20    1.6163     5.0       --      --   0.357   279M/756M
     370    2/20    1.9306     6.9       --      --   0.394   279M/756M
     380    2/20    1.9266     6.9       --      --   0.413   279M/756M
     390    2/20    2.0502     7.8       --      --   0.451   279M/756M
     400    2/20    2.0348     7.7       --      --   0.447   279M/756M
     410    2/20    1.8666     6.5       --      --   0.402   279M/756M
     420    2/20    1.7245     5.6       --      --   0.381   279M/756M
     430    2/20    1.9506     7.0       --      --   0.408   279M/756M
     440    2/20    1.6266     5.1       --      --   0.350   279M/756M
     450    2/20    1.8965     6.7       --      --   0.432   279M/756M
     460    2/20    1.9396     7.0       --      --   0.400   279M/756M
     470    2/20    1.8099     6.1       --      --   0.398   279M/756M
     480    2/20    1.9420     7.0       --      --   0.426   279M/756M
     490    2/20    1.8135     6.1       --      --   0.410   279M/756M
     500    2/20    1.7958     6.0       --      --   0.401   279M/756M
     510    2/20    1.6334     5.1       --      --   0.387   279M/756M
     520    2/20    1.8973     6.7       --      --   0.408   279M/756M
     530    2/20    2.0750     8.0       --      --   0.454   279M/756M
     540    2/20    1.7633     5.8       --      --   0.379   279M/756M
     550    2/20    1.8054     6.1       --      --   0.423   279M/756M
---------------------------------------------------------------------------
  EPOCH 2/20 SUMMARY: TrLoss=1.8653 | VaLoss=1.9221 | VaPPL=6.8
---------------------------------------------------------------------------
     560    3/20    1.7720     5.9       --      --   0.398   279M/756M
     570    3/20    1.5795     4.9       --      --   0.372   279M/756M
     580    3/20    1.7280     5.6       --      --   0.404   279M/756M
     590    3/20    1.7241     5.6       --      --   0.392   279M/756M
     600    3/20    1.6325     5.1       --      --   0.405   279M/756M
     610    3/20    1.6894     5.4       --      --   0.393   279M/756M
     620    3/20    1.8330     6.3       --      --   0.397   279M/756M
     630    3/20    2.0079     7.4       --      --   0.413   279M/756M
     640    3/20    1.7989     6.0       --      --   0.403   279M/756M
     650    3/20    1.8086     6.1       --      --   0.410   279M/756M
     660    3/20    1.9141     6.8       --      --   0.459   279M/756M
     670    3/20    1.7141     5.6       --      --   0.395   279M/756M
     680    3/20    1.9365     6.9       --      --   0.424   279M/756M
     690    3/20    1.9639     7.1       --      --   0.423   279M/756M
     700    3/20    1.7547     5.8       --      --   0.396   279M/756M
     710    3/20    1.7291     5.6       --      --   0.400   279M/756M
     720    3/20    1.8618     6.4       --      --   0.428   279M/756M
     730    3/20    1.9954     7.4       --      --   0.434   279M/756M
     740    3/20    1.9305     6.9       --      --   0.415   279M/756M
     750    3/20    1.6342     5.1       --      --   0.382   279M/756M
     760    3/20    2.3052    10.0       --      --   0.451   279M/756M
     770    3/20    1.8315     6.2       --      --   0.444   279M/756M
     780    3/20    1.8640     6.4       --      --   0.416   279M/756M
     790    3/20    1.7736     5.9       --      --   0.397   279M/756M
     800    3/20    2.1459     8.5       --      --   0.439   279M/756M
     810    3/20    1.7470     5.7       --      --   0.381   279M/756M
     820    3/20    1.9271     6.9       --      --   0.444   279M/756M
---------------------------------------------------------------------------
  EPOCH 3/20 SUMMARY: TrLoss=1.8537 | VaLoss=1.9160 | VaPPL=6.8
---------------------------------------------------------------------------
     830    4/20    1.6921     5.4       --      --   0.384   279M/756M
     840    4/20    1.9832     7.3       --      --   0.414   279M/756M
     850    4/20    1.8155     6.1       --      --   0.403   279M/756M
     860    4/20    1.6442     5.2       --      --   0.413   279M/756M
     870    4/20    1.7400     5.7       --      --   0.420   279M/756M
     880    4/20    2.0072     7.4       --      --   0.423   279M/756M
     890    4/20    1.7121     5.5       --      --   0.399   279M/756M
     900    4/20    1.5911     4.9       --      --   0.367   279M/756M
     910    4/20    1.6995     5.5       --      --   0.383   279M/756M
     920    4/20    1.9406     7.0       --      --   0.429   279M/756M
     930    4/20    1.5576     4.7       --      --   0.399   279M/756M
     940    4/20    1.6451     5.2       --      --   0.387   279M/756M
     950    4/20    1.7345     5.7       --      --   0.415   279M/756M
     960    4/20    1.9905     7.3       --      --   0.445   279M/756M
     970    4/20    1.7490     5.7       --      --   0.403   279M/756M
     980    4/20    1.8423     6.3       --      --   0.415   279M/756M
     990    4/20    1.9199     6.8       --      --   0.438   279M/756M
    1000    4/20    1.7058     5.5       --      --   0.403   279M/756M
    1010    4/20    1.7372     5.7       --      --   0.414   279M/756M
    1020    4/20    1.8286     6.2       --      --   0.454   279M/756M
    1030    4/20    2.0104     7.5       --      --   0.435   279M/756M
    1040    4/20    1.8616     6.4       --      --   0.415   279M/756M
    1050    4/20    1.9799     7.2       --      --   0.445   279M/756M
    1060    4/20    1.8922     6.6       --      --   0.430   279M/756M
    1070    4/20    1.9597     7.1       --      --   0.450   279M/756M
    1080    4/20    1.7564     5.8       --      --   0.402   279M/756M
    1090    4/20    1.7584     5.8       --      --   0.417   279M/756M
    1100    4/20    1.9267     6.9       --      --   0.443   279M/756M
---------------------------------------------------------------------------
  EPOCH 4/20 SUMMARY: TrLoss=1.8438 | VaLoss=1.9115 | VaPPL=6.8
---------------------------------------------------------------------------
    1110    5/20    1.6695     5.3       --      --   0.416   279M/756M
    1120    5/20    2.1398     8.5       --      --   0.453   279M/756M
    1130    5/20    2.0842     8.0       --      --   0.445   279M/756M
    1140    5/20    1.9784     7.2       --      --   0.426   279M/756M
    1150    5/20    1.8714     6.5       --      --   0.449   279M/756M
    1160    5/20    1.8817     6.6       --      --   0.461   279M/756M
    1170    5/20    1.8221     6.2       --      --   0.421   279M/756M
    1180    5/20    1.6566     5.2       --      --   0.400   279M/756M
    1190    5/20    1.6732     5.3       --      --   0.403   279M/756M
    1200    5/20    1.9105     6.8       --      --   0.456   279M/756M
    1210    5/20    1.8526     6.4       --      --   0.425   279M/756M
    1220    5/20    2.1952     9.0       --      --   0.483   279M/756M
    1230    5/20    2.0313     7.6       --      --   0.448   279M/756M
    1240    5/20    1.8353     6.3       --      --   0.414   279M/756M
    1250    5/20    1.9754     7.2       --      --   0.426   279M/756M
    1260    5/20    2.2333     9.3       --      --   0.500   279M/756M
    1270    5/20    1.6977     5.5       --      --   0.408   279M/756M
    1280    5/20    1.7758     5.9       --      --   0.437   279M/756M
    1290    5/20    1.8541     6.4       --      --   0.432   279M/756M
    1300    5/20    1.6849     5.4       --      --   0.398   279M/756M
    1310    5/20    1.9139     6.8       --      --   0.428   279M/756M
    1320    5/20    1.8891     6.6       --      --   0.435   279M/756M
    1330    5/20    1.7447     5.7       --      --   0.421   279M/756M
    1340    5/20    1.8024     6.1       --      --   0.422   279M/756M
    1350    5/20    1.9228     6.8       --      --   0.452   279M/756M
    1360    5/20    1.6998     5.5       --      --   0.438   279M/756M
    1370    5/20    1.8577     6.4       --      --   0.434   279M/756M
    1380    5/20    1.7320     5.7       --      --   0.386   279M/756M
---------------------------------------------------------------------------
  EPOCH 5/20 SUMMARY: TrLoss=1.8336 | VaLoss=1.9052 | VaPPL=6.7
---------------------------------------------------------------------------
    1390    6/20    1.8808     6.6       --      --   0.398   279M/756M
    1400    6/20    1.7616     5.8       --      --   0.425   279M/756M
    1410    6/20    1.6274     5.1       --      --   0.401   279M/756M
    1420    6/20    1.8642     6.5       --      --   0.426   279M/756M
    1430    6/20    2.2049     9.1       --      --   0.489   279M/756M
    1440    6/20    1.6724     5.3       --      --   0.419   279M/756M
    1450    6/20    1.8641     6.4       --      --   0.419   279M/756M
    1460    6/20    1.8547     6.4       --      --   0.427   279M/756M
    1470    6/20    1.6570     5.2       --      --   0.406   279M/756M
    1480    6/20    2.0696     7.9       --      --   0.468   279M/756M
    1490    6/20    1.7428     5.7       --      --   0.425   279M/756M
    1500    6/20    1.6640     5.3       --      --   0.410   279M/756M
    1510    6/20    1.7578     5.8       --      --   0.429   279M/756M
    1520    6/20    1.8866     6.6       --      --   0.451   279M/756M
    1530    6/20    1.6655     5.3       --      --   0.426   279M/756M
    1540    6/20    1.8680     6.5       --      --   0.477   279M/756M
    1550    6/20    1.8934     6.6       --      --   0.433   279M/756M
    1560    6/20    2.0380     7.7       --      --   0.476   279M/756M
    1570    6/20    1.8844     6.6       --      --   0.436   279M/756M
    1580    6/20    1.7033     5.5       --      --   0.401   279M/756M
    1590    6/20    2.0924     8.1       --      --   0.462   279M/756M
    1600    6/20    1.6429     5.2       --      --   0.402   279M/756M
    1610    6/20    1.9102     6.8       --      --   0.451   279M/756M
    1620    6/20    1.8325     6.2       --      --   0.450   279M/756M
    1630    6/20    1.8242     6.2       --      --   0.441   279M/756M
    1640    6/20    1.9060     6.7       --      --   0.459   279M/756M
    1650    6/20    1.7320     5.7       --      --   0.403   279M/756M
---------------------------------------------------------------------------
  EPOCH 6/20 SUMMARY: TrLoss=1.8245 | VaLoss=1.9006 | VaPPL=6.7
---------------------------------------------------------------------------
    1660    7/20    1.8570     6.4       --      --   0.435   279M/756M
    1670    7/20    1.5857     4.9       --      --   0.412   279M/756M
    1680    7/20    1.6196     5.1       --      --   0.417   279M/756M
    1690    7/20    1.9863     7.3       --      --   0.445   279M/756M
    1700    7/20    1.8207     6.2       --      --   0.417   279M/756M
    1710    7/20    1.7342     5.7       --      --   0.440   279M/756M
    1720    7/20    1.8058     6.1       --      --   0.411   279M/756M
    1730    7/20    1.9513     7.0       --      --   0.457   279M/756M
    1740    7/20    1.7457     5.7       --      --   0.424   279M/756M
    1750    7/20    1.9376     6.9       --      --   0.416   279M/756M
    1760    7/20    1.7254     5.6       --      --   0.427   279M/756M
    1770    7/20    1.9447     7.0       --      --   0.443   279M/756M
    1780    7/20    1.6026     5.0       --      --   0.430   279M/756M
    1790    7/20    1.8231     6.2       --      --   0.443   279M/756M
    1800    7/20    1.9336     6.9       --      --   0.437   279M/756M
    1810    7/20    1.7927     6.0       --      --   0.438   279M/756M
    1820    7/20    1.8802     6.6       --      --   0.457   279M/756M
    1830    7/20    1.7670     5.9       --      --   0.411   279M/756M
    1840    7/20    1.7888     6.0       --      --   0.407   279M/756M
    1850    7/20    2.0392     7.7       --      --   0.463   279M/756M
    1860    7/20    1.7862     6.0       --      --   0.426   279M/756M
    1870    7/20    1.6562     5.2       --      --   0.406   279M/756M
    1880    7/20    1.9908     7.3       --      --   0.475   279M/756M
    1890    7/20    1.8548     6.4       --      --   0.463   279M/756M
    1900    7/20    1.6978     5.5       --      --   0.423   279M/756M
    1910    7/20    1.5652     4.8       --      --   0.408   279M/756M
    1920    7/20    1.8513     6.4       --      --   0.446   279M/756M
    1930    7/20    1.6235     5.1       --      --   0.409   279M/756M
---------------------------------------------------------------------------
  EPOCH 7/20 SUMMARY: TrLoss=1.8154 | VaLoss=1.8962 | VaPPL=6.7
---------------------------------------------------------------------------
    1940    8/20    1.7497     5.8       --      --   0.431   279M/756M
    1950    8/20    1.9427     7.0       --      --   0.457   279M/756M
    1960    8/20    2.0729     7.9       --      --   0.447   279M/756M
    1970    8/20    1.7747     5.9       --      --   0.425   279M/756M
    1980    8/20    1.8495     6.4       --      --   0.423   279M/756M
    1990    8/20    1.7100     5.5       --      --   0.433   279M/756M
    2000    8/20    1.5576     4.7       --      --   0.395   279M/756M
    2010    8/20    1.6603     5.3       --      --   0.422   279M/756M
    2020    8/20    1.7832     5.9       --      --   0.451   279M/756M
    2030    8/20    1.8772     6.5       --      --   0.439   279M/756M
    2040    8/20    1.9752     7.2       --      --   0.466   279M/756M
    2050    8/20    1.6149     5.0       --      --   0.431   279M/756M
    2060    8/20    1.9652     7.1       --      --   0.468   279M/756M
    2070    8/20    1.9963     7.4       --      --   0.472   279M/756M
    2080    8/20    1.5676     4.8       --      --   0.409   279M/756M
    2090    8/20    1.9240     6.8       --      --   0.464   279M/756M
    2100    8/20    1.9071     6.7       --      --   0.446   279M/756M
    2110    8/20    1.9110     6.8       --      --   0.463   279M/756M
    2120    8/20    1.7921     6.0       --      --   0.450   279M/756M
    2130    8/20    1.6840     5.4       --      --   0.410   279M/756M
    2140    8/20    1.9858     7.3       --      --   0.494   279M/756M
    2150    8/20    1.6452     5.2       --      --   0.448   279M/756M
    2160    8/20    1.9613     7.1       --      --   0.467   279M/756M
    2170    8/20    1.7548     5.8       --      --   0.470   279M/756M
    2180    8/20    1.7534     5.8       --      --   0.434   279M/756M
    2190    8/20    1.9229     6.8       --      --   0.438   279M/756M
    2200    8/20    1.8916     6.6       --      --   0.466   279M/756M
---------------------------------------------------------------------------
  EPOCH 8/20 SUMMARY: TrLoss=1.8062 | VaLoss=1.8913 | VaPPL=6.6
---------------------------------------------------------------------------
    2210    9/20    1.6705     5.3       --      --   0.425   279M/756M
    2220    9/20    1.7540     5.8       --      --   0.454   279M/756M
    2230    9/20    2.0782     8.0       --      --   0.480   279M/756M
    2240    9/20    1.6160     5.0       --      --   0.415   279M/756M
    2250    9/20    1.6314     5.1       --      --   0.413   279M/756M
    2260    9/20    1.9690     7.2       --      --   0.482   279M/756M
    2270    9/20    1.6134     5.0       --      --   0.410   279M/756M
    2280    9/20    1.5921     4.9       --      --   0.412   279M/756M
    2290    9/20    1.8298     6.2       --      --   0.436   279M/756M
    2300    9/20    1.6007     5.0       --      --   0.421   279M/756M
    2310    9/20    1.6787     5.4       --      --   0.426   279M/756M
    2320    9/20    1.8367     6.3       --      --   0.479   279M/756M
    2330    9/20    2.0169     7.5       --      --   0.488   279M/756M
    2340    9/20    1.8654     6.5       --      --   0.448   279M/756M
    2350    9/20    2.0125     7.5       --      --   0.501   279M/756M
    2360    9/20    1.8673     6.5       --      --   0.457   279M/756M
    2370    9/20    1.8728     6.5       --      --   0.469   279M/756M
    2380    9/20    2.0040     7.4       --      --   0.483   279M/756M
    2390    9/20    1.7367     5.7       --      --   0.431   279M/756M
    2400    9/20    1.8767     6.5       --      --   0.448   279M/756M
    2410    9/20    1.5411     4.7       --      --   0.413   279M/756M
    2420    9/20    1.7347     5.7       --      --   0.416   279M/756M
    2430    9/20    1.7017     5.5       --      --   0.443   279M/756M
    2440    9/20    1.7892     6.0       --      --   0.453   279M/756M
    2450    9/20    1.6966     5.5       --      --   0.420   279M/756M
    2460    9/20    1.8227     6.2       --      --   0.443   279M/756M
    2470    9/20    1.8516     6.4       --      --   0.451   279M/756M
    2480    9/20    1.6525     5.2       --      --   0.442   279M/756M
---------------------------------------------------------------------------
  EPOCH 9/20 SUMMARY: TrLoss=1.7981 | VaLoss=1.8871 | VaPPL=6.6
---------------------------------------------------------------------------
    2490   10/20    1.8050     6.1       --      --   0.443   279M/756M
    2500   10/20    1.7442     5.7       --      --   0.485   279M/756M
    2510   10/20    1.7551     5.8       --      --   0.460   279M/756M
    2520   10/20    1.8798     6.6       --      --   0.472   279M/756M
    2530   10/20    1.8924     6.6       --      --   0.485   279M/756M
    2540   10/20    1.7575     5.8       --      --   0.456   279M/756M
    2550   10/20    1.9208     6.8       --      --   0.463   279M/756M
    2560   10/20    1.8242     6.2       --      --   0.446   279M/756M
    2570   10/20    1.7314     5.6       --      --   0.447   279M/756M
    2580   10/20    1.8307     6.2       --      --   0.472   279M/756M
    2590   10/20    1.4924     4.4       --      --   0.409   279M/756M
    2600   10/20    1.7904     6.0       --      --   0.425   279M/756M
    2610   10/20    1.7541     5.8       --      --   0.464   279M/756M
    2620   10/20    1.8781     6.5       --      --   0.475   279M/756M
    2630   10/20    1.6771     5.4       --      --   0.460   279M/756M
    2640   10/20    1.6658     5.3       --      --   0.440   279M/756M
    2650   10/20    2.0164     7.5       --      --   0.474   279M/756M
    2660   10/20    1.8783     6.5       --      --   0.485   279M/756M
    2670   10/20    2.0150     7.5       --      --   0.502   279M/756M
    2680   10/20    1.8519     6.4       --      --   0.461   279M/756M
    2690   10/20    1.9684     7.2       --      --   0.482   279M/756M
    2700   10/20    1.9113     6.8       --      --   0.476   279M/756M
    2710   10/20    1.9521     7.0       --      --   0.459   279M/756M
    2720   10/20    1.9593     7.1       --      --   0.458   279M/756M
    2730   10/20    1.9630     7.1       --      --   0.482   279M/756M
    2740   10/20    1.8794     6.5       --      --   0.466   279M/756M
    2750   10/20    1.7041     5.5       --      --   0.430   279M/756M
    2760   10/20    2.0802     8.0       --      --   0.495   279M/756M
---------------------------------------------------------------------------
  EPOCH 10/20 SUMMARY: TrLoss=1.7900 | VaLoss=1.8827 | VaPPL=6.6
---------------------------------------------------------------------------
    2770   11/20    1.7151     5.6       --      --   0.446   279M/756M
    2780   11/20    1.6641     5.3       --      --   0.440   279M/756M
    2790   11/20    1.5353     4.6       --      --   0.434   279M/756M
    2800   11/20    1.8385     6.3       --      --   0.470   279M/756M
    2810   11/20    1.7839     6.0       --      --   0.448   279M/756M
    2820   11/20    1.7856     6.0       --      --   0.478   279M/756M
    2830   11/20    1.4937     4.5       --      --   0.416   279M/756M
    2840   11/20    1.7424     5.7       --      --   0.482   279M/756M
    2850   11/20    1.7496     5.8       --      --   0.437   279M/756M
    2860   11/20    1.8011     6.1       --      --   0.452   279M/756M
    2870   11/20    1.8536     6.4       --      --   0.470   279M/756M
    2880   11/20    1.6877     5.4       --      --   0.451   279M/756M
    2890   11/20    1.6179     5.0       --      --   0.450   279M/756M
    2900   11/20    1.9613     7.1       --      --   0.468   279M/756M
    2910   11/20    2.0750     8.0       --      --   0.534   279M/756M
    2920   11/20    1.5863     4.9       --      --   0.410   279M/756M
    2930   11/20    1.7838     6.0       --      --   0.473   279M/756M
    2940   11/20    2.0108     7.5       --      --   0.473   279M/756M
    2950   11/20    1.9167     6.8       --      --   0.487   279M/756M
    2960   11/20    1.7776     5.9       --      --   0.450   279M/756M
    2970   11/20    1.7121     5.5       --      --   0.443   279M/756M
    2980   11/20    1.6504     5.2       --      --   0.414   279M/756M
    2990   11/20    1.7704     5.9       --      --   0.450   279M/756M
    3000   11/20    1.9697     7.2       --      --   0.523   279M/756M
    3010   11/20    1.7314     5.6       --      --   0.453   279M/756M
    3020   11/20    1.8737     6.5       --      --   0.458   279M/756M
    3030   11/20    1.8010     6.1       --      --   0.483   279M/756M
---------------------------------------------------------------------------
  EPOCH 11/20 SUMMARY: TrLoss=1.7813 | VaLoss=1.8786 | VaPPL=6.5
---------------------------------------------------------------------------
    3040   12/20    1.7680     5.9       --      --   0.458   279M/756M
    3050   12/20    1.7840     6.0       --      --   0.494   279M/756M
    3060   12/20    1.7078     5.5       --      --   0.433   279M/756M
    3070   12/20    1.9141     6.8       --      --   0.489   279M/756M
    3080   12/20    1.5434     4.7       --      --   0.465   279M/756M
    3090   12/20    1.7130     5.5       --      --   0.448   279M/756M
    3100   12/20    1.9889     7.3       --      --   0.524   279M/756M
    3110   12/20    2.0579     7.8       --      --   0.493   279M/756M
    3120   12/20    1.7475     5.7       --      --   0.457   279M/756M
    3130   12/20    1.7622     5.8       --      --   0.486   279M/756M
    3140   12/20    1.9784     7.2       --      --   0.475   279M/756M
    3150   12/20    1.6276     5.1       --      --   0.432   279M/756M
    3160   12/20    1.4565     4.3       --      --   0.410   279M/756M
    3170   12/20    1.7022     5.5       --      --   0.454   279M/756M
    3180   12/20    1.7905     6.0       --      --   0.470   279M/756M
    3190   12/20    1.7842     6.0       --      --   0.460   279M/756M
    3200   12/20    1.9261     6.9       --      --   0.483   279M/756M
    3210   12/20    2.0457     7.7       --      --   0.512   279M/756M
    3220   12/20    1.8263     6.2       --      --   0.497   279M/756M
    3230   12/20    1.8392     6.3       --      --   0.469   279M/756M
    3240   12/20    1.9418     7.0       --      --   0.482   279M/756M
    3250   12/20    1.7933     6.0       --      --   0.476   279M/756M
    3260   12/20    1.6408     5.2       --      --   0.467   279M/756M
    3270   12/20    1.7568     5.8       --      --   0.455   279M/756M
    3280   12/20    1.6090     5.0       --      --   0.447   279M/756M
    3290   12/20    1.6080     5.0       --      --   0.429   279M/756M
    3300   12/20    1.7753     5.9       --      --   0.453   279M/756M
    3310   12/20    1.6902     5.4       --      --   0.462   279M/756M
---------------------------------------------------------------------------
  EPOCH 12/20 SUMMARY: TrLoss=1.7746 | VaLoss=1.8757 | VaPPL=6.5
---------------------------------------------------------------------------
    3320   13/20    1.6227     5.1       --      --   0.426   279M/756M
    3330   13/20    1.9213     6.8       --      --   0.510   279M/756M
    3340   13/20    1.7104     5.5       --      --   0.449   279M/756M
    3350   13/20    1.7833     5.9       --      --   0.463   279M/756M
    3360   13/20    1.6324     5.1       --      --   0.459   279M/756M
    3370   13/20    1.5777     4.8       --      --   0.447   279M/756M
    3380   13/20    1.6840     5.4       --      --   0.429   279M/756M
    3390   13/20    1.8459     6.3       --      --   0.475   279M/756M
    3400   13/20    1.8380     6.3       --      --   0.469   279M/756M
    3410   13/20    1.8043     6.1       --      --   0.481   279M/756M
    3420   13/20    1.8279     6.2       --      --   0.487   279M/756M
    3430   13/20    1.7708     5.9       --      --   0.461   279M/756M
    3440   13/20    2.0379     7.7       --      --   0.484   279M/756M
    3450   13/20    1.8180     6.2       --      --   0.461   279M/756M
    3460   13/20    1.6261     5.1       --      --   0.455   279M/756M
    3470   13/20    1.5995     5.0       --      --   0.446   279M/756M
    3480   13/20    1.7102     5.5       --      --   0.467   279M/756M
    3490   13/20    1.5555     4.7       --      --   0.440   279M/756M
    3500   13/20    1.6840     5.4       --      --   0.443   279M/756M
    3510   13/20    1.6992     5.5       --      --   0.440   279M/756M
    3520   13/20    1.7253     5.6       --      --   0.461   279M/756M
    3530   13/20    1.7978     6.0       --      --   0.492   279M/756M
    3540   13/20    1.6338     5.1       --      --   0.429   279M/756M
    3550   13/20    1.9217     6.8       --      --   0.483   279M/756M
    3560   13/20    1.8320     6.2       --      --   0.476   279M/756M
    3570   13/20    1.9046     6.7       --      --   0.470   279M/756M
    3580   13/20    1.7226     5.6       --      --   0.463   279M/756M
---------------------------------------------------------------------------
  EPOCH 13/20 SUMMARY: TrLoss=1.7667 | VaLoss=1.8724 | VaPPL=6.5
---------------------------------------------------------------------------
    3590   14/20    2.0444     7.7       --      --   0.492   279M/756M
    3600   14/20    1.8802     6.6       --      --   0.520   279M/756M
    3610   14/20    1.8510     6.4       --      --   0.460   279M/756M
    3620   14/20    1.5699     4.8       --      --   0.440   279M/756M
    3630   14/20    1.9317     6.9       --      --   0.507   279M/756M
    3640   14/20    1.6935     5.4       --      --   0.461   279M/756M
    3650   14/20    1.4647     4.3       --      --   0.418   279M/756M
    3660   14/20    1.9125     6.8       --      --   0.481   279M/756M
    3670   14/20    1.5368     4.6       --      --   0.402   279M/756M
    3680   14/20    1.8884     6.6       --      --   0.492   279M/756M
    3690   14/20    1.9147     6.8       --      --   0.523   279M/756M
    3700   14/20    1.7403     5.7       --      --   0.476   279M/756M
    3710   14/20    1.6697     5.3       --      --   0.453   279M/756M
    3720   14/20    1.4990     4.5       --      --   0.445   279M/756M
    3730   14/20    1.7814     5.9       --      --   0.475   279M/756M
    3740   14/20    1.4713     4.4       --      --   0.426   279M/756M
    3750   14/20    1.9506     7.0       --      --   0.496   279M/756M
    3760   14/20    1.8056     6.1       --      --   0.477   279M/756M
    3770   14/20    1.8921     6.6       --      --   0.493   279M/756M
    3780   14/20    1.8169     6.2       --      --   0.487   279M/756M
    3790   14/20    1.6967     5.5       --      --   0.449   279M/756M
    3800   14/20    1.5506     4.7       --      --   0.442   279M/756M
    3810   14/20    1.9229     6.8       --      --   0.494   279M/756M
    3820   14/20    1.7588     5.8       --      --   0.481   279M/756M
    3830   14/20    1.7235     5.6       --      --   0.476   279M/756M
    3840   14/20    1.9573     7.1       --      --   0.491   279M/756M
    3850   14/20    1.6479     5.2       --      --   0.469   279M/756M
    3860   14/20    1.6556     5.2       --      --   0.464   279M/756M
---------------------------------------------------------------------------
  EPOCH 14/20 SUMMARY: TrLoss=1.7581 | VaLoss=1.8687 | VaPPL=6.5
---------------------------------------------------------------------------
    3870   15/20    1.7940     6.0       --      --   0.456   279M/756M
    3880   15/20    1.6532     5.2       --      --   0.453   279M/756M
    3890   15/20    1.9398     7.0       --      --   0.531   279M/756M
    3900   15/20    1.7927     6.0       --      --   0.492   279M/756M
    3910   15/20    1.5759     4.8       --      --   0.436   279M/756M
    3920   15/20    1.9428     7.0       --      --   0.519   279M/756M
    3930   15/20    1.7635     5.8       --      --   0.510   279M/756M
    3940   15/20    1.7357     5.7       --      --   0.451   279M/756M
    3950   15/20    1.9114     6.8       --      --   0.529   279M/756M
    3960   15/20    1.5906     4.9       --      --   0.467   279M/756M
    3970   15/20    1.6782     5.4       --      --   0.491   279M/756M
    3980   15/20    1.6604     5.3       --      --   0.481   279M/756M
    3990   15/20    1.8647     6.5       --      --   0.508   279M/756M
    4000   15/20    1.8178     6.2       --      --   0.458   279M/756M
    4010   15/20    1.8014     6.1       --      --   0.499   279M/756M
    4020   15/20    1.8042     6.1       --      --   0.478   279M/756M
    4030   15/20    1.9171     6.8       --      --   0.483   279M/756M
    4040   15/20    1.9066     6.7       --      --   0.492   279M/756M
    4050   15/20    1.6950     5.4       --      --   0.465   279M/756M
    4060   15/20    1.7790     5.9       --      --   0.496   279M/756M
    4070   15/20    1.6307     5.1       --      --   0.475   279M/756M
